call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,text_override,override_phrase,status
delivery_malay,0.0,"Helo? Hah, nak apa? Kuali khidmat pelanggan ni.",Hello hah nak apa call khidmat pelanggan ni,0.889,0.933,Agent,Agent,True,False,,✅ CORRECT
delivery_malay,3.28,Selamat pagi. Saya nak tanya pasal barang saya dah dua minggu tak sampai.,Selamat pagi saya nak tanya pasal barang saya dah dua minggu tak sampai status t,0.845,0.746,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,9.74,"Dah tu? Kalau status tulis dah hantar, maninya dah hantarlah. Takkan tu pun nak ",Dah tu kalau status tulis dah hantar maknanya dah hantar la takkan tu pun nak ke,0.938,0.737,Customer,Agent,False,False,,❌ WRONG
delivery_malay,15.38,"Masalahnya, saya tak terima apa-apa pun. Barang tu mahal kuat. Boleh tak tolong ",Masalahnya saya tak terima apa apa pun barang tu mahal kot boleh tak tolong sema,0.946,0.704,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,20.48,Bagilah nombor tracking tu. Nak semak macam mana kalau nombor pun tak pagi? Aduh,Bagilah nombor tracking tu nak semak macam mana kalau nombor pun tak bagi aduhai,0.952,0.571,Agent,Agent,True,True,nombor tracking,✅ CORRECT
delivery_malay,29.68,"Awak ni tak boleh kecakap iluk-iluk sikit, saya pelanggan tau.",Nombor dia T R sembilan sembilan lapan lapan awak ni tak boleh ke cakap elok elo,0.655,0.56,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,33.32,"Saya tengah banyak kerja ni, cik. Bukan cik sorang je pelanggan saya.",Saya tengah banyak kerja ni encik bukan encik sorang je pelanggan saya okey keja,0.815,0.489,Agent,Agent,True,True,saya tengah banyak kerja,✅ CORRECT
delivery_malay,38.68,Ha ni sistem cakap Korea dah letak atas pagah rumah cik.,Hah ni sistem cakap courier dah letak atas pagar rumah encik pergi la cari kat l,0.732,0.439,Agent,Agent,True,True,sistem cakap,✅ CORRECT
delivery_malay,43.84,Saya dah cari satu rumah tak ada pun.,Saya dah cari satu rumah tak ada pun entah entah dia hantar salah rumah ke apa,0.626,0.376,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,48.82,Analah saya tahu. Saya duduk pejabat. Bukan saya yang hantar barang tu.,Mana lah saya tahu saya duduk pejabat bukan saya yang hantar barang tu pergi cal,0.795,0.477,Agent,Agent,True,True,bukan saya yang hantar,✅ CORRECT
delivery_malay,53.48,"Kan ni platform tempat saya beli barang, kenapa pula saya yang kena call Korea,",Kan ni platform tempat saya beli barang kenapa pula saya yang kena call courier ,0.811,0.486,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,59.66,"Anjik, tanggung jawab kita orang sampai barang tu keluar gudang je,",Eh encik tanggungjawab kitorang sampai barang tu keluar gudang je lepas tu panda,0.723,0.434,Agent,Agent,True,True,keluar gudang,✅ CORRECT
delivery_malay,78.4,Saya tak nak berusian dengan orang macam awak.,Kurang ajar betul saya nak cakap dengan pengurus awak saya tak nak berurusan den,0.603,0.362,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,81.46,dia sibuk nak tunggu tunggu lah tak nak tunggu letak je telefon tu,Ini tak masuk akal saya nak buat aduan pasal servis awak bagi saya nama penuh aw,0.306,0.579,Agent,Customer,False,True,dia sibuk,❌ WRONG
delivery_malay,85.18,dia adak betul punya perhimatan pelanggan,Biadap betul punya perkhidmatan pelanggan,0.902,0.541,Customer,Customer,True,False,,✅ CORRECT
delivery_malay,87.76,iyalah iyalah bye,Yelah yelah bye,0.812,0.487,Customer,Agent,False,False,,❌ WRONG
