call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,matched,text_override,override_phrase,status
delivery_malay,0.0,Helo?,Hello hah nak apa call khidmat pelanggan ni,0.167,0.5,Agent,Agent,True,True,False,,✅ CORRECT
delivery_malay,0.9,"Hah, nak apa? Kuali khidmat pelanggan ni.",Hello hah nak apa call khidmat pelanggan ni,0.833,0.9,Agent,Agent,True,True,False,,✅ CORRECT
delivery_malay,3.28,Selamat pagi.,Hello hah nak apa call khidmat pelanggan ni,0.393,0.636,Agent,Agent,True,True,False,,✅ CORRECT
delivery_malay,4.42,Saya nak tanya pasal barang saya dah dua minggu tak sampai.,Selamat pagi saya nak tanya pasal barang saya dah dua minggu tak sampai status t,0.753,0.778,Customer,Customer,True,True,True,saya nak tanya,✅ CORRECT
delivery_malay,8.02,Status tulis dah hantar.,Selamat pagi saya nak tanya pasal barang saya dah dua minggu tak sampai status t,0.387,0.632,Agent,Customer,False,True,False,,❌ WRONG
delivery_malay,9.74,"Dah tu? Kalau status tulis dah hantar, maknanya dah hantarlah. Takkan tu pun nak",Dah tu kalau status tulis dah hantar maknanya dah hantar la takkan tu pun nak ke,0.955,0.748,Agent,Agent,True,True,False,,✅ CORRECT
delivery_malay,15.38,"Masalahnya, saya tak terima apa-apa pun. Barang tu mahal kuat. Boleh tak tolong ",Masalahnya saya tak terima apa apa pun barang tu mahal kot boleh tak tolong sema,0.946,0.704,Customer,Customer,True,True,True,saya tak terima,✅ CORRECT
delivery_malay,20.48,Bagilah nombor tracking tu. Nak semak macam mana kalau nombor pun tak pagi? Aduh,Bagilah nombor tracking tu nak semak macam mana kalau nombor pun tak bagi aduhai,0.952,0.571,Agent,Agent,True,True,False,,✅ CORRECT
delivery_malay,24.9,Nombor dia TR-99988.,Bagilah nombor tracking tu nak semak macam mana kalau nombor pun tak bagi aduhai,0.22,0.475,Agent,Agent,True,True,False,,✅ CORRECT
delivery_malay,29.68,"Awak ni tak boleh kecakap iluk-iluk sikit, saya pelanggan tau.",Nombor dia T R sembilan sembilan lapan lapan awak ni tak boleh ke cakap elok elo,0.655,0.56,Customer,Customer,True,True,True,saya pelanggan,✅ CORRECT
