segment_id,role,text,start,end
1,Agent,Thank you for calling Global Connect Premium Support. My name is Marcus. To whom do I have the pleasure of speaking today?,0,7
2,Customer,"Hi Marcus, this is Sarah Jenkins. I’m calling because I noticed a double charge on my credit card statement this morning for my monthly subscription.",7,15
3,Agent,"I’m very sorry to hear that, Ms. Jenkins. I certainly understand how frustrating unexpected charges can be. Let me pull up your account profile. Could you please verify the last four digits of the card on file?",15,28
4,Customer,"Sure, it’s 4-4-9-2.",28,31
5,Agent,"Thank you. Just a moment while the system refreshes... (Pause for typing) ...Okay, I see the two charges of forty-five dollars. It looks like the first one was a system-generated renewal and the second was a manual trigger.",31,50
6,Customer,"Oh, that’s strange. I didn't manually trigger anything. Can we get that second one refunded today?",50,57
7,Agent,"Well, looking at the logs, the request came from your IP address, Ms. Jenkins. Our policy generally states that manual overrides are non-refundable.",57,70
8,Customer,"Wait, I’m sorry? I definitely didn't do that. I was asleep at 3:00 AM when that charge went through. Is there a supervisor I could talk to?",70,80
9,Agent,"(Heavy sigh) Look, Sarah, a supervisor is going to tell you the exact same thing I just did. Do you think I’m just making this up for fun?",80,90
10,Customer,Excuse me? I’m just asking for a correction on a mistake your system made. There’s no need for that tone.,90,97
11,Agent,"My 'tone'? Honestly, I’m tired of people calling in and playing dumb about their own mistakes. It’s forty-five dollars. If you're that desperate for the money, maybe you shouldn't have a premium subscription in the first place.",97,110
12,Customer,I cannot believe you just said that. Give me your employee ID number right now.,110,115
13,Agent,"How about no? How about you just hang up and stop wasting my time? I’ve got actual customers with real problems. Goodbye, Sarah.",115,122
