segment_id,role,text,start,end
1,Agent,Thank you for calling Silver Lining Insurance My name is Marcus To whom do I have the pleasure of speaking today,0.0,6.5
2,Customer,Hi Marcus this is Sarah Jenkins I am calling because a rock hit my windshield on the highway this morning and now there is a massive crack,7.0,15.0
3,Agent,I am sorry to hear that Sarah I am glad you are safe Do you have your policy number handy so I can pull up your glass coverage details,15.5,24.0
4,Customer,Yes just a second it is four four nine two zero Alpha I am really worried because I have a long road trip planned for tomorrow and I need this fixed immediately,25.0,33.5
5,Agent,I understand the urgency Looking at your Premier Plan you are fully covered for glass repair with a zero dollar deductible,34.0,40.5
6,Agent,I can schedule a mobile technician to come to your location this afternoon,41.0,45.0
7,Customer,Oh that would be a huge relief Does it matter that I am at my office and not at home,45.5,50.5
8,Agent,Not at all We just need the vehicle location and a contact number Shall I proceed with the booking for the two PM slot,51.0,58.0
9,Customer,Yes please That works perfectly for me Thank you so much for making this easy,58.5,62.5
10,Agent,It is my pleasure Sarah I am processing that now You will receive a confirmation text shortly Is there anything else I can assist with,63.0,69.5
