segment_id,role,text,start,end
1,Agent,Selamat petang. Terima kasih kerana menghubungi Telco Line Care.,0.0,3.6
2,Agent,Nama saya Imran. Ada apa-apa yang boleh saya bantu uruskan hari ini?,3.92,7.78
3,Customer,"Selamat petang, Encik Imran. Saya harap Encik sihat.",8.1,11.02
4,Customer,Saya nak tanya sedikit fasil akaun saya bulan ini.,11.5,14.2
5,Customer,Biasanya bil saya cuma RM60 sahaja setiap bulan.,14.5,17.46
6,Customer,Tapi kali ini saya tengok dalam aplikasi naik sampai RM140.,17.68,21.58
7,Customer,Boleh tolong semakkan kalau ada kesilapan sistem.,22.16,24.66
8,Agent,"Tak ada silapnya tu, Encik.",26.32,28.12
9,Agent,Sistem kami dilaraskan secara otomatik.,28.12,30.9
10,Agent,Jadi memang mustahil untuk salah kira.,31.06,33.24
11,Agent,RM140 tu maksudnya Encik ada guna data roaming,34.2,37.3
12,Agent,atau langganan pihak ketiga lah tu masa pergi bercuti hari tu.,37.3,40.7
13,Agent,Pihak kami cuma cas apa yang telefon Encik guna sahaja.,41.3,44.66
14,Customer,"Oh, bercuti keluar negara.",45.26,46.76
15,Customer,"Tapi Encik, sepanjang dua bulan lepas,",47.18,49.42
16,Customer,saya memang tak ada keluar dari kawasan Kuala Rumpur pun.,49.58,52.38
17,Customer,Apatah lagi luar negara.,52.58,53.82
18,Customer,Boleh saya tahu tarikh atau butiran terperinci data roaming tu digunakan?,54.04,57.96
19,Customer,Manalah tahu sistem tersalah letak cas bawah nombor akaun saya.,58.12,61.42
20,Agent,"Eh, mana boleh salah?",62.0,63.52
21,Agent,Encik ingat sistem syarikat gergasi macam kami ni bodoh sangat ke,63.98,67.84
22,Agent,sampai boleh sesuka hati tukai akaun orang?,67.84,70.12
23,Agent,Tak payah nak petikaikan sistem lah.,70.76,72.64
24,Agent,"Dah kalau dalam rekod komputer tulis ada guna,",73.18,75.74
25,Agent,maksudnya Encik yang gunalah tu.,75.98,77.88
26,Agent,Takkanlah hantu pula yang curik-curik guna telefon Encik kot.,78.48,81.2
27,Customer,"Encik Imran, tolong jaga bahasa Encik ya.",81.6,84.22
28,Customer,Saya tanya elok-elok sebagai pelanggan sedia ada.,84.22,86.88
29,Customer,Dan saya rasa saya berhak untuk tahu butiran bil saya sendiri.,87.06,90.12
30,Customer,Saya cuba minta penjelasan yang jelas sahaja.,90.4,92.58
31,Agent,Tidak perlu sampai menyindir saya seperti itu.,92.76,94.66
32,Agent,"Penjelasan apa lagi, Encik?",95.3,96.92
33,Agent,Saya dah bagitahu kan?,97.26,98.3
34,Agent,"Dalam sistem, tertera cas tusah.",98.6,100.64
35,Agent,Kalau Encik sendiri tak tahu apa yang Encik langgan,100.84,103.76
36,Agent,"atau anak-anak Encik ada main telefon sampai tertekan iklan,",103.76,107.02
37,Agent,itu bukan salah kamilah.,107.2,108.8
38,Customer,kami tak ada masa nak pantau aktiviti harian telefon Encik satu persatu.,109.4,113.04
39,Customer,"Encik Imran, saya tinggal seorang diri",113.4,115.96
40,Customer,"dan tidak ada anak kecil yang main telefon saya, Encik.",115.96,118.74
41,Customer,"Memandangkan Encik Enggan membantu saya menyemak butiran ini dengan betul,",119.08,122.72
42,Agent,tolong pas talian ini kepada pengurus,123.2,125.14
43,Agent,atau supervisor Encik sekarang juga.,125.14,126.9
44,Agent,Saya mahu bercakap dengan pihak atasan yang lebih profesional.,127.1,130.04
45,Agent,"Hmph,",130.9,131.5
46,Agent,supervisor saya pun tak ada masalah,132.16,133.6
47,Agent,nak layan benda remeh-temeh macam ni.,133.6,135.18
48,Customer,ingat manajer kami duduk kat pejabat sahaja-sahaja tunggu panggilan Encik ke?,135.18,138.92
49,Customer,"Bil dah keluar dalam sistem,",139.42,140.82
50,Customer,maksudnya Encik wagit bayar je lah.,141.06,142.96
51,Agent,Tak payah nak banyak songih sangat sampai nak panggil manajer bagai.,143.4,146.5
52,Agent,Saya benar-benar terkejut dengan layanan Encik hari ni.,146.82,149.42
53,Agent,Ini bukan cara perkhidmatan korporat dikendalikan.,149.72,152.02
54,Agent,Sila berikan nama penuh Encik,152.58,153.86
