segment_id,role,text,start,end
1,Agent,Good morning.,0.0,0.76
2,Agent,Thank you for calling Horizon FiberCare. My name is Gilbert. How may I assist you with your internet service today?,1.16,7.36
3,Customer,"Good morning, Gilbert. I hope you're having a good day. I'm calling because my home Wi-Fi connection has been incredibly slow for the past 48 hours.",7.94,15.3
4,Customer,"I run an online consulting business from home, and my video calls keep dropping. I was hoping you could help me check if there's an issue with my line.",15.5,22.84
5,Agent,"I completely understand how critical a stable connection is for running a business from home, Mrs. Sandra. We will definitely get this sorted out for you today.",22.84,31.9
6,Agent,"To get started, may I please have your full name and your account number or registered home address?",32.16,37.92
7,Customer,"Of course. My name is Sandra Bennett, and the account number is HFB77419. The registered address is 142 Skyline Drive.",38.18,48.48
8,Agent,"Thank you so much, Mrs. Bennett. I have successfully pulled up your account details. I see you are currently on our 100 megabits per second home fiber plan.",48.48,59.38
9,Agent,I am running a quick diagnostic on our main exchange line leading to your street.,59.58,64.62
10,Agent,"Okay, the physical line signal coming into your house looks perfectly healthy and is delivering the full speed.",65.08,71.74
11,Customer,"Oh, that's interesting. If the main line is healthy, does that mean the issue is coming from my actual router inside the house?",71.74,78.78
12,Customer,"The signal bars on my laptop look full, but the actual loading speed is just crawling.",78.98,83.96
13,Agent,"Yes, that is highly likely. It usually means the router is struggling to distribute the data wirelessly.",84.48,91.06
14,Agent,"Before they do any system resets, let's do a quick physical check.",91.48,95.32
15,Agent,"Are you currently near your Wi-Fi router, Mrs. Bennett?",95.52,98.66
16,Customer,"Yes, I am standing right next to it in the living room.",98.66,101.64
17,Agent,Perfect.,101.98,102.48
18,Agent,"Please take a look at the front panel of the router. Can you tell me what color the lights are and if any of them are blinking abnormally, specifically the one labeled PON or Internet?",102.84,113.32
19,Customer,"Let's see. The power light is solid green, the PON light is also solid green, but the wireless-slash-WLAN light is blinking rapidly in amber instead of green. Is that bad?",113.94,125.86
20,Agent,Not bad at all. It just means the wireless chip inside the router is experiencing high data congestion or a temporary firmware lockup.,125.86,134.38
21,Agent,Let's perform a clean power cycle.,134.62,136.88
22,Agent,"Please look at the back of the router,",137.26,138.9
23,Agent,"find the black power cable, and unplug it directly from the device.",139.3,143.3
24,Customer,"Okay, I'm reaching around the back, and I have unplugged the power cable. The lights are completely off now.",143.56,149.78
25,Agent,Excellent.,149.78,150.68
26,Agent,Now we want to leave it unplugged for exactly 30 seconds. This allows the internal capacitors to drain completely and clears out any clogged data cache.,151.04,160.84
