segment_id,role,text,start,end
1,Customer,"Oh my god, thank goodness you answered. I think my account was hacked. I just got a notification that $2,000 was transferred to an account I don't recognize, and now I'm locked out. I can't log in.",0.0,10.68
2,Agent,"Sarah,",11.24,11.76
3,Agent,"please take a deep breath. I know this is incredibly stressful, but you are in the right place.",12.14,18.32
4,Agent,"I am looking at your profile right now, and I can protect your funds.",18.68,22.9
5,Agent,"First, let's secure the account. Can you confirm your date of birth for me?",23.46,27.8
6,Customer,"It's October 14th, 1992.",28.8,31.58
7,Customer,"Please, that's my entire rent money. Are they taking more? Can you stop it?",32.58,37.34
8,Agent,"Thank you, Sarah.",37.64,38.6
9,Agent,I have successfully initiated a temporary freeze on your entire account.,39.02,44.16
10,Agent,No money can move in or out right now. The hackers are completely locked out.,44.58,50.34
11,Customer,"Wait,",50.78,51.42
12,Customer,so they can't take anything else? Are you sure?,51.78,55.58
13,Agent,"Absolutely sure. The account is completely locked down. I also see the pending $2,000 transfer. Because you called so quickly, it hasn't cleared yet. I am flagging it as unauthorized and reversing it right now.",56.42,72.18
14,Customer,"Oh, thank God. I was literally shaking.",72.18,76.18
15,Customer,I clicked on a link in a text message earlier that looked like it was from you guys. I feel so stupid.,76.62,82.4
16,Agent,"Please don't blame yourself, Sarah.",82.92,85.04
17,Agent,These phishing scams are incredibly sophisticated nowadays.,85.48,88.78
18,Agent,Anyone could have fallen for it. The important thing is that you acted fast.,89.38,94.32
19,Agent,I've successfully blocked the transfer so your money is safe.,94.72,98.46
20,Customer,"Thank you so much, Alex.",98.46,100.78
21,Customer,"Seriously, what do I need to do next?",101.5,103.96
22,Agent,I'm going to send a secure link to your registered mobile number right now to help you reset your password and security questions.,104.34,110.92
23,Agent,"Once you do that, we'll lift the freeze.",111.4,113.38
24,Agent,Is there anything else I can do to help ease your mind today?,113.8,116.64
25,Customer,"No,",117.16,117.56
26,Customer,that's everything.,118.02,118.76
27,Customer,You've been an absolute lifesaver.,119.24,121.32
28,Customer,Thank you.,121.82,122.62
29,Agent,"You're very welcome, Sarah.",122.62,124.64
30,Agent,Stay safe and have a wonderful rest of your day.,125.34,127.84
