segment_id,role,text,start,end
1,Agent,"Sama petang, pusat bantuan makan sini.",0.0,2.18
2,Agent,Saya Siti. Boleh saya bantu Encik?,2.54,4.62
3,Customer,"Helo, Siti.",4.92,5.82
4,Customer,Saya nak tanya pasal pesanan saya tadi. Saya baru perasan ada barang yang tertinggal dalam plastik ni.,6.2,11.4
5,Agent,"Minta maaf atas kesulitan tersebut, Encik. Boleh saya dapatkan nombor pesanan Encik untuk saya buat semakan dalam sistem?",11.76,18.3
6,Customer,Nombor dia MS8821.,18.78,21.98
7,Customer,Saya pesan set nasi lemak ayam berempah dengan air sirap.,22.46,25.82
8,Customer,Tapi ayamnya tak ada.,25.82,27.5
9,Customer,Nasi dengan sambal je ada.,28.0,29.48
10,Customer,Macam mana nak makan macam ni?,30.0,31.28
11,Agent,Saya faham perasaan Encik. Saya pun akan kecewa kalau jadi macam ni.,31.64,35.82
12,Agent,"Berdasarkan rekod, pesanan Encik memang sepatutnya ada ayam.",36.42,39.62
13,Agent,"Encik nak saya pulangkan duit, refund untuk bahagian ayam itu?",39.84,43.54
14,Agent,Atau Encik nak baucer untuk pesanan akan datang?,43.76,46.14
15,Customer,"Kalau boleh, saya nak refund sajalah. Sebab saya dah lapar sangat ni. Kena beli makanan lain pula nanti.",46.54,52.24
16,Agent,Baiklah. Saya akan uruskan proses bayaran balik serta-merta.,52.24,56.2
17,Agent,"Proses ini akan mengambil masa dalam 24 jam untuk masuk semula ke dalam e-wallet, Encik.",56.5,61.38
18,Customer,Okeylah kalau macam tu. Harap lepas ni pihak restoran lebih peka lah ya.,61.86,65.96
19,Customer,Jangan cuai sangat bungkus makanan.,66.3,67.82
20,Agent,"Betul, Encik. Kami akan hantar maklum balas tegas kepada pihak restoran tersebut.",68.42,72.64
21,Agent,Ada apa-apa lagi yang boleh saya bantu?,72.9,74.68
22,Customer,Tak ada dah. Itu sahaja. Terima kasih ya.,75.24,77.3
23,Agent,"Sama-sama, Encik. Terima kasih kerana menghubungi kami.",77.66,80.24
