call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,matched,text_override,override_phrase,status
sky_malay,0.0,"Hah,","Selamat petang, terima kasih kerana menghubungi Khidmat Pelanggan Sky-Link Expre",0.029,0.417,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,0.96,selamat petang.,"Selamat petang, terima kasih kerana menghubungi Khidmat Pelanggan Sky-Link Expre",0.2,0.52,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,1.9,Terima kasih kerana menghubungi khidmat pelanggan Skyling Express.,"Selamat petang, terima kasih kerana menghubungi Khidmat Pelanggan Sky-Link Expre",0.647,0.788,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,5.42,Nama saya Fidoz. Boleh saya bantu encik hari ini?,"Selamat petang, terima kasih kerana menghubungi Khidmat Pelanggan Sky-Link Expre",0.511,0.707,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,8.34,"Selamat petang, Fidoz.","Selamat petang, Firdaus. Saya nak tanya pasal barang saya. Nombor tracking MY-99",0.225,0.483,Agent,Customer,False,True,False,,❌ WRONG
sky_malay,10.1,Saya nak tanya pasal barang saya.,"Selamat petang, Firdaus. Saya nak tanya pasal barang saya. Nombor tracking MY-99",0.333,0.6,Customer,Customer,True,True,True,saya nak tanya,✅ CORRECT
sky_malay,12.5,Nombor tracking MY-9920X.,"Selamat petang, Firdaus. Saya nak tanya pasal barang saya. Nombor tracking MY-99",0.263,0.558,Customer,Customer,True,True,False,,✅ CORRECT
sky_malay,16.98,Dah tiga hari status di output delivery.,"Selamat petang, Firdaus. Saya nak tanya pasal barang saya. Nombor tracking MY-99",0.361,0.617,Customer,Customer,True,True,False,,✅ CORRECT
sky_malay,19.12,Tapi saya masih tak terima apa-apa.,"Selamat petang, Firdaus. Saya nak tanya pasal barang saya. Nombor tracking MY-99",0.35,0.403,Customer,Customer,True,True,False,,✅ CORRECT
sky_malay,21.6,"Tidak, Mak. Af atas kesulitan tersebut encik.","Minta maaf atas kesulitan tersebut, encik. Saya faham perasaan encik. Sebentar y",0.232,0.539,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,24.52,Saya faham perasaan encik.,"Minta maaf atas kesulitan tersebut, encik. Saya faham perasaan encik. Sebentar y",0.06,0.436,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,26.54,"Sementara ya, biar saya semak dalam sistem kami,","Minta maaf atas kesulitan tersebut, encik. Saya faham perasaan encik. Sebentar y",0.0,0.4,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,30.24,"Oh,","Minta maaf atas kesulitan tersebut, encik. Saya faham perasaan encik. Sebentar y",0.0,0.4,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,31.38,saya dah nampak.,"Minta maaf atas kesulitan tersebut, encik. Saya faham perasaan encik. Sebentar y",0.0,0.4,Agent,Agent,True,True,False,,✅ CORRECT
sky_malay,32.98,"Tak mengikut rekod, rider kami dah hantar bangun semalam pada pukul dua putang.","Minta maaf atas kesulitan tersebut, encik. Saya faham perasaan encik. Sebentar y",0.0,0.4,Agent,Agent,True,True,True,mengikut rekod,✅ CORRECT
sky_malay,38.6,Encik ada semak dengan ziran atau letak di dalam petiswan.,"Dah semak, memang tak ada. CCTV rumah saya pun tak nampak ada motor lalu semalam",0.287,0.572,Customer,Customer,True,True,False,,✅ CORRECT
