call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,matched,text_override,override_phrase,status
food_malay,0.0,"Samap petang, pusat bantu makan sini,",Selamat petang Pusat Bantuan Makan Sini saya Siti Boleh saya bantu encik,0.624,0.774,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,2.6,saya cik.,Selamat petang Pusat Bantuan Makan Sini saya Siti Boleh saya bantu encik,0.198,0.519,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,3.52,"Boleh saya bantu, cik?",Selamat petang Pusat Bantuan Makan Sini saya Siti Boleh saya bantu encik,0.426,0.503,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,5.16,"Hello, cik.",Hello Siti saya nak tanya pasal pesanan saya tadi Saya baru perasan ada barang y,0.131,0.479,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,6.18,Saya nak tanya pasal pesanan saya tadi.,Hello Siti saya nak tanya pasal pesanan saya tadi Saya baru perasan ada barang y,0.507,0.704,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,8.56,Saya baru perasan ada barang yang tertinggal dalam plastik ini.,Hello Siti saya nak tanya pasal pesanan saya tadi Saya baru perasan ada barang y,0.701,0.692,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,11.96,"Minta maaf atas kesulitan tersebut, cik. Boleh saya dapatkan nombor pesanan cik ",Minta maaf atas kesulitan tersebut encik Boleh saya dapatkan nombor pesanan enci,0.966,0.899,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,18.28,Nombo dia MS8821.,Nombor dia M S lapan lapan dua satu Saya pesan set nasi lemak ayam berempah deng,0.154,0.492,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,22.58,Saya pesan set nasi lemak ayam berempah dengan air sirap. Tapi ayamnya tak ada.,Nombor dia M S lapan lapan dua satu Saya pesan set nasi lemak ayam berempah deng,0.706,0.58,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,27.94,Nasi dengan sambal saja ada.,Saya faham perasaan encik saya pun akan kecewa kalau jadi macam ni Berdasarkan r,0.183,0.51,Customer,Agent,False,True,False,,❌ WRONG
food_malay,29.96,Macam mana nak makan macam ni?,Saya faham perasaan encik saya pun akan kecewa kalau jadi macam ni Berdasarkan r,0.297,0.578,Customer,Agent,False,True,False,,❌ WRONG
food_malay,31.86,Saya faham perasaan encik. Saya pun akan kecewa kalau jadi macam ni.,Encik nak saya pulangkan duit atau encik nak baucar untuk pesanan akan datang,0.317,0.576,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,36.42,Berdasarkan rekod pesanan encik memang sepatutnya ada ayam.,Kalau boleh saya nak refund sajalah sebab saya dah lapar sangat ni kena beli mak,0.277,0.556,Agent,Customer,False,True,False,,❌ WRONG
food_malay,40.02,"Encik nak saya pulangkan duit, refund untuk bahagian ayam itu atau encik nak bau",Encik nak saya pulangkan duit atau encik nak baucar untuk pesanan akan datang,0.806,0.484,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,46.14,"Kalau boleh, saya nak refund sahajalah. Sebab saya dah lapar sangat ni, kena bel",Kalau boleh saya nak refund sajalah sebab saya dah lapar sangat ni kena beli mak,0.971,0.583,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,52.86,Baiklah. Saya akan uruskan proses bayaran balik setemerta.,Okaylah kalau macam tu Harap lepas ni pihak restoran lebih peka lah ya jangan cu,0.184,0.51,Agent,Customer,False,True,False,,❌ WRONG
food_malay,56.6,Proses ini akan mengambil masa dalam 24 jam untuk masuk semula ke dalam e-wallet,Betul encik kami akan hantar maklum balas tegas kepada pihak restoran Ada apa ap,0.267,0.525,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,61.84,"Okeylah. Kalau macam tu,",Betul encik kami akan hantar maklum balas tegas kepada pihak restoran Ada apa ap,0.182,0.496,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,63.48,harap lepas ni pihak restoran lebih peka lah ya. Jangan cuai sangat bungkus maka,Okaylah kalau macam tu Harap lepas ni pihak restoran lebih peka lah ya jangan cu,0.868,0.521,Customer,Customer,True,True,False,,✅ CORRECT
food_malay,68.38,Betul encik. Kami akan hantar maklum balas tegas kepada pihak restoran tesebut.,Betul encik kami akan hantar maklum balas tegas kepada pihak restoran Ada apa ap,0.77,0.462,Agent,Agent,True,True,False,,✅ CORRECT
food_malay,73.08,Ada apa-apa lagi yang boleh saya bantu?,,0.0,0.302,Agent,Unknown,False,False,False,,⚠ UNMATCHED
food_malay,74.64,Tak ada dah. Itu saja.,,0.0,0.153,Customer,Unknown,False,False,False,,⚠ UNMATCHED
food_malay,76.68,"Terima kasih, Ya.",,0.0,0.148,Agent,Unknown,False,False,False,,⚠ UNMATCHED
food_malay,77.82,"Sama-sama, Cik. Terima kasih kerana menghubungi kami.",,0.0,0.229,Agent,Unknown,False,False,False,,⚠ UNMATCHED
