segment_id,role,text,start,end
1,Agent,Hello hah nak apa call khidmat pelanggan ni,0.0,4.5
2,Customer,Selamat pagi saya nak tanya pasal barang saya dah dua minggu tak sampai status tulis dah hantar,5.0,12.0
3,Agent,Dah tu kalau status tulis dah hantar maknanya dah hantar la takkan tu pun nak kena ajar,12.5,18.0
4,Customer,Masalahnya saya tak terima apa apa pun barang tu mahal kot boleh tak tolong semak,18.5,25.0
5,Agent,Bagilah nombor tracking tu nak semak macam mana kalau nombor pun tak bagi aduhai,25.5,31.0
6,Customer,Nombor dia T R sembilan sembilan lapan lapan awak ni tak boleh ke cakap elok elok sikit saya pelanggan tau,31.5,39.0
7,Agent,Saya tengah banyak kerja ni encik bukan encik sorang je pelanggan saya okey kejap saya tengok,39.5,45.0
8,Agent,Hah ni sistem cakap courier dah letak atas pagar rumah encik pergi la cari kat luar tu,45.5,52.0
9,Customer,Saya dah cari satu rumah tak ada pun entah entah dia hantar salah rumah ke apa,52.5,59.0
10,Agent,Mana lah saya tahu saya duduk pejabat bukan saya yang hantar barang tu pergi call courier tu sendiri,59.5,66.0
11,Customer,Kan ni platform tempat saya beli barang kenapa pula saya yang kena call courier awak lah yang kena uruskan,66.5,74.0
12,Agent,Eh encik tanggungjawab kitorang sampai barang tu keluar gudang je lepas tu pandai pandai la courier,74.5,81.0
13,Customer,Ini tak masuk akal saya nak buat aduan pasal servis awak bagi saya nama penuh awak sekarang,81.5,88.0
14,Agent,Buatlah aduan ingat saya takut ke nama saya Rizal ada apa apa lagi nak marah marah ni,88.5,95.0
15,Customer,Kurang ajar betul saya nak cakap dengan pengurus awak saya tak nak berurusan dengan orang macam awak,95.5,103.0
16,Agent,Pengurus tak ada dia sibuk nak tunggu tunggu lah tak nak tunggu letak je telefon tu,103.5,110.0
17,Customer,Biadap betul punya perkhidmatan pelanggan,110.5,116.0
18,Agent,Yelah yelah bye,116.5,120.0
