call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,matched,text_override,override_phrase,status
bank_malay,0.0,Terselamat pagi.,Selamat pagi Bank Harapan dengan saya Amirul boleh saya bantu encik,0.289,0.573,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,1.36,"Bank harapan dengan saya Amirul. Boleh saya bantu, encik?",Selamat pagi Bank Harapan dengan saya Amirul boleh saya bantu encik,0.871,0.923,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,4.94,Aku nak tahu kenapa ada tolak duit dari air kawan aku seratus sikit.,Aku nak tahu kenapa ada tolak duit dari akaun aku seratus ringgit korang ni pand,0.678,0.8,Customer,Customer,True,True,False,,✅ CORRECT
bank_malay,9.06,Orang ini pandai-pandai contoh tolak duit orang.,Aku nak tahu kenapa ada tolak duit dari akaun aku seratus ringgit korang ni pand,0.497,0.698,Customer,Customer,True,True,False,,✅ CORRECT
bank_malay,11.6,"Harap bersabar, encik. Saya minta maaf atas kesultan ini.",Harap bersabar encik saya minta maaf atas kesulitan ini boleh saya dapatkan nomb,0.643,0.687,Agent,Agent,True,True,False,,✅ CORRECT
bank_malay,15.68,Boleh saya dapatkan nombor kad pengenalan untuk saya makan?,Harap bersabar encik saya minta maaf atas kesulitan ini boleh saya dapatkan nomb,0.635,0.781,Agent,Agent,True,True,False,,✅ CORRECT
bank_malay,18.64,Nak nombor kad pengenalan buat apa?,Harap bersabar encik saya minta maaf atas kesulitan ini boleh saya dapatkan nomb,0.397,0.511,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,20.3,"Cek jelah nama apa, Johan.",Nak nombor kad pengenalan buat apa check je la nama aku Johan aku dah call banya,0.321,0.592,Customer,Customer,True,True,False,,✅ CORRECT
bank_malay,21.92,Aku dah telefon banyak kali. Takkan tak ada rekod.,Nak nombor kad pengenalan buat apa check je la nama aku Johan aku dah call banya,0.503,0.702,Customer,Customer,True,True,False,,✅ CORRECT
bank_malay,24.28,"Maaf, Encik Johan.",Nak nombor kad pengenalan buat apa check je la nama aku Johan aku dah call banya,0.163,0.498,Agent,Customer,False,True,False,,❌ WRONG
bank_malay,25.76,Prosedur keselamatan Bank memerlukan nombor kad pengenalan,Maaf encik Johan prosedur keselamatan bank memerlukan nombor kad pengenalan untu,0.716,0.516,Agent,Agent,True,True,False,,✅ CORRECT
bank_malay,28.62,untuk kami buka profil Encik.,Maaf encik Johan prosedur keselamatan bank memerlukan nombor kad pengenalan untu,0.421,0.653,Agent,Agent,True,True,False,,✅ CORRECT
bank_malay,31.0,Menusahkan betul.,Maaf encik Johan prosedur keselamatan bank memerlukan nombor kad pengenalan untu,0.198,0.519,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,33.52,890-2140-1553.,,0.0,0.177,Customer,Unknown,False,False,False,,⚠ UNMATCHED
bank_malay,36.8,Cepat sikit.,Menyusahkan betul lapan sembilan kosong dua satu empat kosong satu lima lima tig,0.2,0.52,Customer,Customer,True,True,True,cepat sikit,✅ CORRECT
bank_malay,37.7,"Terima kasih, Encik Johan.",Menyusahkan betul lapan sembilan kosong dua satu empat kosong satu lima lima tig,0.161,0.497,Customer,Customer,True,True,False,,✅ CORRECT
bank_malay,39.4,"Sementara saya semak transaksi terakhir, Encik.",Menyusahkan betul lapan sembilan kosong dua satu empat kosong satu lima lima tig,0.262,0.557,Agent,Customer,False,True,False,,❌ WRONG
bank_malay,42.58,Jangan suruh aku tunggu lama-lama.,,0.0,0.327,Customer,Unknown,False,False,False,,⚠ UNMATCHED
bank_malay,44.22,Aku ada banyak kerja lain nak buat.,Terima kasih encik Johan sebentar ya saya semak transaksi terakhir encik,0.262,0.557,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,45.76,Bukan nak layan bank orang.,Terima kasih encik Johan sebentar ya saya semak transaksi terakhir encik,0.222,0.533,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,47.26,"Baik, Encik.",Terima kasih encik Johan sebentar ya saya semak transaksi terakhir encik,0.19,0.514,Agent,Agent,True,True,False,,✅ CORRECT
bank_malay,48.3,Saya nampak ada penulakan 100 rigit,Jangan suruh aku tunggu lama lama aku ada banyak kerja lain nak buat bukan nak l,0.351,0.576,Agent,Customer,False,True,False,,❌ WRONG
bank_malay,50.64,"untuk charge tahunan kat credit, Encik.",Jangan suruh aku tunggu lama lama aku ada banyak kerja lain nak buat bukan nak l,0.163,0.498,Agent,Customer,False,True,False,,❌ WRONG
bank_malay,53.04,Charge tahunan apa benda pula?,Jangan suruh aku tunggu lama lama aku ada banyak kerja lain nak buat bukan nak l,0.222,0.533,Customer,Customer,True,True,False,,✅ CORRECT
bank_malay,54.7,Aku dah guna kat ini 5 tahun.,,0.0,0.334,Customer,Unknown,False,False,False,,⚠ UNMATCHED
bank_malay,56.32,Tak pernah ada charge tahunan.,Baik encik saya nampak ada penolakan seratus ringgit untuk caj tahunan kad kredi,0.291,0.574,Customer,Agent,False,True,False,,❌ WRONG
bank_malay,57.38,Kau orang ini nak menipu ke?,Baik encik saya nampak ada penolakan seratus ringgit untuk caj tahunan kad kredi,0.261,0.557,Customer,Agent,False,True,False,,❌ WRONG
